,comments,description,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,ratings,related_talks,speaker_occupation,tags,title,url,views
0,4553,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,1164,TED2006,1140825600,60,Ken Robinson,Ken Robinson: Do schools kill creativity?,1,1151367060,"[{'id': 7, 'name': 'Funny', 'count': 19645}, {'id': 1, 'name': 'Beautiful', 'count': 4573}, {'id': 9, 'name': 'Ingenious', 'count': 6073}, {'id': 3, 'name': 'Courageous', 'count': 3253}, {'id': 11, 'name': 'Longwinded', 'count': 387}, {'id': 2, 'name': 'Confusing', 'count': 242}, {'id': 8, 'name': 'Informative', 'count': 7346}, {'id': 22, 'name': 'Fascinating', 'count': 10581}, {'id': 21, 'name': 'Unconvincing', 'count': 300}, {'id': 24, 'name': 'Persuasive', 'count': 10704}, {'id': 23, 'name': 'Jaw-dropping', 'count': 4439}, {'id': 25, 'name': 'OK', 'count': 1174}, {'id': 26, 'name': 'Obnoxious', 'count': 209}, {'id': 10, 'name': 'Inspiring', 'count': 24924}]","[{'id': 865, 'hero': 'https://pe.tedcdn.com/images/ted/172559_800x600.jpg', 'speaker': 'Ken Robinson', 'title': 'Bring on the learning revolution!', 'duration': 1008, 'slug': 'sir_ken_robinson_bring_on_the_revolution', 'viewed_count': 7266103}, {'id': 1738, 'hero': 'https://pe.tedcdn.com/images/ted/de98b161ad1434910ff4b56c89de71af04b8b873_1600x1200.jpg', 'speaker': 'Ken Robinson', 'title': ""How to escape education's death valley"", 'duration': 1151, 'slug': 'ken_robinson_how_to_escape_education_s_death_valley', 'viewed_count': 6657572}, {'id': 2276, 'hero': 'https://pe.tedcdn.com/images/ted/3821f3728e0b755c7b9aea2e69cc093eca41abe1_2880x1620.jpg', 'speaker': 'Linda Cliatt-Wayman', 'title': 'How to fix a broken school? Lead fearlessly, love hard', 'duration': 1027, 'slug': 'linda_cliatt_wayman_how_to_fix_a_broken_school_lead_fearlessly_love_hard', 'viewed_count': 1617101}, {'id': 892, 'hero': 'https://pe.tedcdn.com/images/ted/e79958940573cc610ccb583619a54866c41ef303_2880x1620.jpg', 'speaker': 'Charles Leadbeater', 'title': 'Education innovation in the slums', 'duration': 1138, 'slug': 'charles_leadbeater_on_education', 'viewed_count': 772296}, {'id': 1232, 'hero': 'https://pe.tedcdn.com/images/ted/0e3e4e92d5ee8ae0e43962d447d3f790b31099b8_800x600.jpg', 'speaker': 'Geoff Mulgan', 'title': 'A short intro to the Studio School', 'duration': 376, 'slug': 'geoff_mulgan_a_short_intro_to_the_studio_school', 'viewed_count': 667971}, {'id': 2616, 'hero': 'https://pe.tedcdn.com/images/ted/71cde5a6fa6c717488fb55eff9eef939a9241761_2880x1620.jpg', 'speaker': 'Kandice Sumner', 'title': ""How America's public schools keep kids in poverty"", 'duration': 830, 'slug': 'kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty', 'viewed_count': 1181333}]",Author/educator,"['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",Do schools kill creativity?,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",47227110
644,3356,"Questions of good and evil, right and wrong are commonly thought unanswerable by science. But Sam Harris argues that science can -- and should -- be an authority on moral issues, shaping human values and setting out what constitutes a good life.",1386,TED2010,1265846400,39,Sam Harris,Sam Harris: Science can answer moral questions,1,1269249180,"[{'id': 8, 'name': 'Informative', 'count': 923}, {'id': 24, 'name': 'Persuasive', 'count': 2090}, {'id': 22, 'name': 'Fascinating', 'count': 1029}, {'id': 3, 'name': 'Courageous', 'count': 1246}, {'id': 21, 'name': 'Unconvincing', 'count': 612}, {'id': 2, 'name': 'Confusing', 'count': 128}, {'id': 26, 'name': 'Obnoxious', 'count': 259}, {'id': 10, 'name': 'Inspiring', 'count': 1316}, {'id': 23, 'name': 'Jaw-dropping', 'count': 348}, {'id': 11, 'name': 'Longwinded', 'count': 149}, {'id': 9, 'name': 'Ingenious', 'count': 557}, {'id': 7, 'name': 'Funny', 'count': 100}, {'id': 1, 'name': 'Beautiful', 'count': 157}, {'id': 25, 'name': 'OK', 'count': 215}]","[{'id': 666, 'hero': 'https://pe.tedcdn.com/images/ted/75f3b4c9df371bc6e440cc8b13a4441c60bde2bd_1600x1200.jpg', 'speaker': 'David Deutsch', 'title': 'A new way to explain explanation', 'duration': 998, 'slug': 'david_deutsch_a_new_way_to_explain_explanation', 'viewed_count': 938941}, {'id': 116, 'hero': 'https://pe.tedcdn.com/images/ted/6348_480x360.jpg', 'speaker': 'Dan Dennett', 'title': 'Dangerous memes', 'duration': 926, 'slug': 'dan_dennett_on_dangerous_memes', 'viewed_count': 1596077}, {'id': 113, 'hero': 'https://pe.tedcdn.com/images/ted/454_480x360.jpg', 'speaker': 'Richard Dawkins', 'title': 'Militant atheism', 'duration': 1750, 'slug': 'richard_dawkins_on_militant_atheism', 'viewed_count': 4374807}, {'id': 341, 'hero': 'https://pe.tedcdn.com/images/ted/d0cb457c07c026bd2af305bd40fb28331abcb105_2880x1620.jpg', 'speaker': 'Jonathan Haidt', 'title': 'The moral roots of liberals and conservatives', 'duration': 1122, 'slug': 'jonathan_haidt_on_the_moral_mind', 'viewed_count': 2724234}, {'id': 68, 'hero': 'https://pe.tedcdn.com/images/ted/714735a4fcc8eccc6c86beba28fdee415e02628f_2880x1620.jpg', 'speaker': 'Robert Wright', 'title': 'Progress is not a zero-sum game', 'duration': 1151, 'slug': 'robert_wright_on_optimism', 'viewed_count': 1090255}, {'id': 2669, 'hero': 'https://pe.tedcdn.com/images/ted/f3187c6a62c88e3d8123e39f9d8180fa6d1aea86_2880x1620.jpg', 'speaker': 'Robb Willer', 'title': 'How to have better political conversations', 'duration': 721, 'slug': 'robb_willer_how_to_have_better_political_conversations', 'viewed_count': 1243699}]","Neuroscientist, philosopher","['culture', 'evolutionary psychology', 'global issues', 'morality', 'philosophy', 'psychology', 'religion', 'science']",Science can answer moral questions,"https://www.ted.com/talks/sam_harris_science_can_show_what_s_right
",3433437
